485107	546093	547932
526915	523678	551869
545704	589969	578912
524717	608149	628900
479570	590824	629685
501939	543126	596891
549621	555386	558795
630402	602788	582820
609981	678097	623706
534820	646667	690084
481681	567652	652291
391465	521554	572444
347307	434452	539506
339211	377483	451324
329201	331031	359953
269019	282564	280229
169408	193337	206766
112621	129138	159893
461862	523494	525522
500713	499296	529969
519827	562656	552489
495371	570774	594665
458473	565428	604142
490015	531257	584720
540641	556972	558299
630245	606033	590605
620882	688120	629614
560018	670969	708230
515527	610930	692613
437388	575183	637062
395617	492163	607621
387596	428994	514174
394887	381601	412666
348901	349833	335104
240927	270697	276198
219936	235650	277633
