24274	25051	28014
27274	24318	26198
29115	28018	26273
26520	28814	27166
21264	29655	29890
21875	22626	29565
24147	22421	25174
28238	24000	23712
29921	27496	24769
27988	29498	28447
22573	27487	29429
14667	21600	26591
9434	13446	19434
6449	8325	11801
4923	5473	6713
3219	3898	4144
1635	2211	2629
930	1228	1683
23144	23461	26193
26041	23089	25000
27626	26654	24783
23715	26005	24932
18899	23511	24889
20602	21868	26288
22260	21397	23120
27085	22334	22096
28539	26645	22629
25687	27789	26361
19304	24595	27158
12781	18424	23748
8172	12066	16893
6482	7527	10570
5212	5921	6514
3933	4499	4736
2274	3117	3361
1761	2479	3082
