06001	1	1	53403	55713	50403	50675	50199
06001	1	2	46432	50315	53438	44239	48226
06001	1	3	40958	45184	49772	49438	46511
06001	1	4	43372	41567	47795	48551	51294
06001	1	5	56916	48823	51853	51016	54690
06001	1	6	64469	58888	58749	55373	56266
06001	1	7	65390	66418	62900	56495	56511
06001	1	8	58245	61899	64155	58007	56955
06001	1	9	51266	53461	60289	58407	56139
06001	1	10	37379	44337	52214	55553	56163
06001	1	11	28418	33594	46080	48247	53623
06001	1	12	23382	25042	31817	41292	45805
06001	1	13	21506	20134	22811	27483	37886
06001	1	14	20010	18870	17991	19279	24740
06001	1	15	14755	16136	15538	15300	17205
06001	1	16	10493	11657	13064	12372	12673
06001	1	17	5925	7028	8034	9161	9232
06001	1	18	3794	4656	5740	6589	8395
06001	2	1	51018	53283	48159	48508	47347
06001	2	2	44612	48106	50833	42594	46488
06001	2	3	39552	43469	47626	46883	44751
06001	2	4	40623	38957	45119	46015	48828
06001	2	5	50745	44687	50211	49191	52665
06001	2	6	61179	57970	58114	56064	57342
06001	2	7	63646	64592	61768	56725	58581
06001	2	8	58378	61617	64357	58499	58092
06001	2	9	52735	54468	60535	59449	56410
06001	2	10	37707	45930	55017	56483	57889
06001	2	11	28689	34896	48957	50945	55267
06001	2	12	24637	26417	33836	44627	49297
06001	2	13	25023	22869	25159	30140	41789
06001	2	14	24975	23287	21390	22502	28302
06001	2	15	19916	21625	20757	19141	20821
06001	2	16	16082	16971	18911	17512	16611
06001	2	17	10567	12140	13312	14761	14312
06001	2	18	9969	11542	13136	14029	16647

06003	1	1	38	37	32	30	37
06003	1	2	52	51	33	23	31
06003	1	3	35	34	34	33	24
06003	1	4	26	33	47	36	39
06003	1	5	48	51	48	38	25
06003	1	6	50	44	36	26	22
06003	1	7	45	44	33	30	15
06003	1	8	76	77	49	44	37
06003	1	9	48	58	62	36	43
06003	1	10	38	60	71	80	47
06003	1	11	34	52	65	75	57
06003	1	12	31	30	25	58	68
06003	1	13	28	33	37	37	59
06003	1	14	19	23	24	33	35
06003	1	15	7	15	16	17	17
06003	1	16	12	14	12	19	20
06003	1	17	2	1	4	5	6
06003	1	18	0	0	8	5	3
06003	2	1	43	41	28	33	40
06003	2	2	54	46	36	40	43
06003	2	3	30	44	43	43	47
06003	2	4	28	36	48	38	37
06003	2	5	33	30	31	23	17
06003	2	6	48	40	30	34	31
06003	2	7	55	57	36	35	24
06003	2	8	33	47	41	26	22
06003	2	9	53	63	59	55	43
06003	2	10	17	37	56	59	54
06003	2	11	43	45	47	55	52
06003	2	12	23	27	35	44	53
06003	2	13	21	27	29	35	54
06003	2	14	13	16	20	30	23
06003	2	15	6	11	11	16	22
06003	2	16	7	9	8	12	7
06003	2	17	5	7	10	11	8
06003	2	18	5	6	5	5	1

06005	1	1	782	893	736	716	697
06005	1	2	864	986	985	918	815
06005	1	3	869	1072	1135	1076	940
06005	1	4	1156	1489	1777	1675	1340
06005	1	5	1714	1203	961	1073	999
06005	1	6	1599	1258	1020	1058	1068
06005	1	7	1566	1515	1231	1205	1190
06005	1	8	1495	1696	1612	1455	1256
06005	1	9	1273	1523	1725	1719	1566
06005	1	10	939	1308	1527	1809	1837
06005	1	11	722	1046	1476	1679	1785
06005	1	12	707	853	1127	1682	1734
06005	1	13	872	893	996	1340	1716
06005	1	14	910	906	870	1075	1300
06005	1	15	706	862	861	805	954
06005	1	16	454	562	662	651	645
06005	1	17	244	329	408	483	501
06005	1	18	144	177	212	325	396
06005	2	1	777	894	748	720	730
06005	2	2	870	931	861	891	827
06005	2	3	779	978	1067	1031	947
06005	2	4	622	724	891	1071	937
06005	2	5	466	425	509	685	646
06005	2	6	717	637	554	612	714
06005	2	7	934	888	667	738	678
06005	2	8	1069	1185	1110	824	772
06005	2	9	982	1123	1224	1244	902
06005	2	10	794	1149	1355	1374	1262
06005	2	11	741	1010	1333	1576	1454
06005	2	12	735	852	1085	1624	1671
06005	2	13	928	946	1051	1263	1699
06005	2	14	958	919	849	1043	1235
06005	2	15	723	891	876	783	964
06005	2	16	536	627	739	724	663
06005	2	17	360	425	468	583	592
06005	2	18	295	374	445	510	610

06007	1	1	6750	7376	6030	5920	6209
06007	1	2	6807	7226	6929	6351	6315
06007	1	3	6054	7212	7673	7279	6618
06007	1	4	6490	7132	8710	9597	9101
06007	1	5	9688	8935	10159	12849	11923
06007	1	6	6803	6630	6406	5739	7839
06007	1	7	6485	6637	5580	6286	6256
06007	1	8	6524	6906	6300	5638	5817
06007	1	9	6075	6537	6936	6716	5966
06007	1	10	4350	5943	6943	7245	6652
06007	1	11	3353	4573	6317	7239	7408
06007	1	12	3188	3639	4646	6674	7364
06007	1	13	3788	3556	3708	4848	6691
06007	1	14	4414	3917	3469	3756	4669
06007	1	15	3880	3943	3416	3131	3429
06007	1	16	2868	3038	3142	2924	2679
06007	1	17	1526	1847	2120	2234	2056
06007	1	18	985	1186	1442	1753	1973
06007	2	1	6341	6905	5608	5666	6145
06007	2	2	6411	6761	6470	5863	6103
