191715	208457	202064	209011	225088
189877	210092	218500	213389	219702
173093	212042	222937	228134	224717
166401	189545	220407	230977	237577
181829	185730	200815	233724	238131
209385	210986	206789	215101	245014
222345	234990	223413	218834	229863
213478	239944	244034	231338	226850
187771	223111	246268	248141	232587
143292	191983	225512	247573	246507
109083	147465	195063	224203	245997
94683	109203	142508	191480	221321
90311	92109	104014	137652	186378
85773	84572	84294	98183	131064
66826	75197	72628	76117	88760
46396	53278	60152	60587	64325
25622	32387	38692	44253	45743
15867	20137	26216	32561	40083
182642	198888	192240	199488	214569
180763	199295	207409	203051	210175
163708	199998	211899	216360	213516
157448	177983	207557	219797	224551
170701	175702	189376	221224	223381
203072	199223	196863	204907	235384
220717	228580	214067	209178	223520
213188	238781	239914	222117	221757
186478	223237	244877	244786	227111
140033	192802	228719	247520	246402
107298	144296	196694	229683	249299
96912	108973	143002	196076	231757
99065	97304	107061	141176	195709
100216	96557	91931	104068	139410
81815	94176	88313	86444	97986
65207	71986	82553	78478	77743
44122	52694	59495	66776	65375
39560	48401	57867	66429	77188
