06005	2	7	301	433	664	740	934	888	667	738	678
06005	2	8	249	390	567	776	1069	1185	1110	824	772
06005	2	9	315	365	586	673	982	1123	1224	1244	902
06005	2	10	408	390	455	524	794	1149	1355	1374	1262
06005	2	11	382	571	583	563	741	1010	1333	1576	1454
06005	2	12	438	506	766	680	735	852	1085	1624	1671
06005	2	13	379	596	699	806	928	946	1051	1263	1699
06005	2	14	276	437	627	720	958	919	849	1043	1235
06005	2	15	218	316	425	542	723	891	876	783	964
06005	2	16	145	196	291	379	536	627	739	724	663
06005	2	17	110	134	163	240	360	425	468	583	592
06005	2	18	85	142	172	218	295	374	445	510	610
06007	1	1	3374	3750	4709	5661	6750	7376	6030	5920	6209
06007	1	2	4492	4153	4430	5181	6807	7226	6929	6351	6315
06007	1	3	4778	5069	4768	4963	6054	7212	7673	7279	6618
06007	1	4	4747	5522	6125	5930	6490	7132	8710	9597	9101
06007	1	5	5146	7479	8529	9171	9688	8935	10159	12849	11923
06007	1	6	3082	4786	6534	6974	6803	6630	6406	5739	7839
06007	1	7	2444	3751	5558	6004	6485	6637	5580	6286	6256
06007	1	8	2212	2710	3833	5290	6524	6906	6300	5638	5817
06007	1	9	2477	2461	3015	4214	6075	6537	6936	6716	5966
06007	1	10	2577	2644	2736	3199	4350	5943	6943	7245	6652
06007	1	11	2733	2879	2986	2900	3353	4573	6317	7239	7408
06007	1	12	2653	2949	3507	3264	3188	3639	4646	6674	7364
06007	1	13	2566	3166	3789	4001	3788	3556	3708	4848	6691
06007	1	14	2402	2991	3855	4113	4414	3917	3469	3756	4669
06007	1	15	1834	2267	2908	3404	3880	3943	3416	3131	3429
06007	1	16	1288	1437	1861	2315	2868	3038	3142	2924	2679
06007	1	17	776	820	922	1191	1526	1847	2120	2234	2056
06007	1	18	395	496	612	771	985	1186	1442	1753	1973
06007	2	1	3332	3500	4341	5281	6341	6905	5608	5666	6145
06007	2	2	4319	4033	4172	4878	6411	6761	6470	5863	6103
06007	2	3	4503	4664	4516	4664	5676	6702	7095	6857	6296
06007	2	4	5093	6156	6557	6099	6399	6915	8518	9201	8628
06007	2	5	5461	7534	8797	8787	8745	8080	9603	11815	10929
