104293	105749	107480
110049	103094	104958
112038	111588	106428
118645	113289	113472
108074	111711	105865
93297	92363	99033
92104	91295	93199
103205	91971	90849
103510	102418	91540
94085	103481	100927
83849	92729	101258
63928	82327	89724
53315	60916	40901
44015	49755	56472
37261	37740	42395
26508	29248	28859
15987	17756	19398
11894	11660	13154
99459	101571	103503
105630	98351	100547
107600	106939	101520
114982	109652	109805
106614	110632	105890
97801	95949	100567
97052	96063	96410
108400	96260	95345
110238	108381	95784
99350	108824	106703
87798	99370	107898
69463	87103	97696
60597	67967	84427
53835	57729	64618
49671	48467	51865
41991	42229	40861
30569	31546	32269
31246	29820	31481
