FIPS,P00_TF_T,P00_TM_T,NMR_TF0,NMR_TF5,NMR_TF10,NMR_TF15,NMR_TF20,NMR_TF25,NMR_TF30,NMR_TF35,NMR_TF40,NMR_TF45,NMR_TF50,NMR_TF55,NMR_TF60,NMR_TF65,NMR_TF70,NMR_TF75,NMR_TF80,NMR_TF85,NMR_TM0,NMR_TM5,NMR_TM10,NMR_TM15,NMR_TM20,NMR_TM25,NMR_TM30,NMR_TM35,NMR_TM40,NMR_TM45,NMR_TM50,NMR_TM55,NMR_TM60,NMR_TM65,NMR_TM70,NMR_TM75,NMR_TM80,NMR_TM85
32019,17031,17630,0.26,0.8,0.58,0.38,0.03,0.74,1.6,1.08,0.76,0.8,0.73,0.99,0.69,0.76,0.37,0.11,0.13,0.19,0.32,0.69,0.64,0.63,-0.04,0.27,1.55,1.16,0.79,0.67,0.69,0.85,0.84,1.18,0.79,0.32,0.06,0.09
32021,2505,2572,-0.18,-0.29,-0.33,-0.39,-0.63,-0.46,-0.36,-0.33,-0.26,-0.12,-0.09,-0.02,-0.14,-0.1,-0.19,-0.06,0.03,-0.29,-0.17,-0.27,-0.37,-0.25,-0.58,-0.62,-0.11,-0.34,-0.36,-0.14,-0.21,0.01,0.06,0.12,0,-0.02,-0.01,3.23
32023,15675,16664,0.35,0.75,0.59,0.36,-0.02,0.34,1.06,0.93,0.61,0.84,1.07,1.31,1.41,1.66,0.99,0.91,0.45,1.51,0.31,0.9,0.74,0.47,-0.08,0.38,1.02,0.52,0.54,0.55,0.87,0.89,1.13,1.48,1.96,1.06,0.9,0.49
32027,2590,4177,0.26,0.49,0.06,-0.17,-0.36,0.18,0.56,0.16,0.07,0.25,0.16,0.38,0.12,-0.15,-0.2,-0.14,-0.19,-0.39,0.22,0.34,0.12,0.34,0.74,1.98,1.95,1.55,1.08,0.79,0.75,0.7,0.23,-0.1,-0.21,-0.1,-0.22,-0.47
32029,1634,1780,2.1,0.67,-0.12,-0.04,-0.45,0.2,0.36,0.4,0.41,0.3,0.43,0.52,0.41,0.47,0.38,0.08,-0.28,-0.49,1.42,1.33,0.46,0.26,-0.52,-0.19,0.89,1.36,0.62,0.48,0.54,0.41,0.39,0.41,-0.15,0.07,-0.11,-0.63
32031,167809,174480,0.04,0.13,0.2,0.28,0.6,0.53,0.26,0.16,0.15,0.18,0.16,0.15,0.13,0.1,0.11,0.1,0.13,0.29,0.05,0.12,0.18,0.3,0.69,0.58,0.3,0.16,0.15,0.14,0.18,0.17,0.15,0.12,0.1,0.11,0.09,0.39
32033,3992,5208,0.08,0.01,-0.07,-0.28,-0.53,-0.27,0.15,-0.13,-0.09,-0.05,0.01,0.05,-0.08,-0.08,-0.06,0.06,-0.16,0.06,-0.13,-0.02,-0.19,-0.22,-0.08,0.48,0.31,0.11,-0.05,-0.01,-0.04,-0.2,-0.02,-0.14,-0.06,-0.07,0.42,0.92
32510,25207,27286,-0.05,0.24,0.24,0.15,0.18,0.26,0.35,0.2,0.23,0.2,0.18,0.2,0.29,0.31,0.26,0.19,0.09,0.55,-0.06,0.13,0.18,0.21,0.4,0.59,0.47,0.27,0.28,0.2,0.14,0.22,0.3,0.31,0.22,0.42,0.15,0.13
33001,28285,27734,0.17,0.36,0.11,-0.03,-0.29,-0.03,0.26,0.19,0.11,0.11,0.12,0.18,0.2,0.2,0.07,0.07,0.08,0.43,0.09,0.26,0.13,0.01,-0.26,-0.11,0.29,0.18,0.13,0.14,0.1,0.21,0.25,0.27,0.2,0.27,0.37,1.09
33003,22102,21574,0.07,0.29,0.3,0.01,-0.36,0.09,0.48,0.3,0.2,0.18,0.27,0.39,0.58,0.35,0.26,0.17,0.05,0.36,0.13,0.28,0.29,0.05,-0.35,-0.05,0.57,0.33,0.24,0.15,0.24,0.42,0.54,0.65,0.43,0.21,0.05,0.16
33005,37651,36102,0.07,0.15,0.06,0.27,0.27,-0.33,-0.25,0.08,0.04,0.05,0.01,0,0.03,0.05,0.01,-0.03,-0.02,0.07,0.12,0.13,0.08,0.15,0.22,-0.3,-0.21,0.08,0.07,0.03,0.03,0.02,0.02,0.06,0,0.03,-0.03,-0.08
33007,16819,16249,0.12,0.14,-0.01,-0.13,-0.42,-0.25,0.02,-0.02,-0.03,0,-0.02,0.06,0,-0.04,-0.01,-0.01,0.01,0.14,0.11,0.14,0.01,-0.09,-0.43,-0.34,-0.01,-0.01,0.04,-0.01,0.04,0.12,-0.02,0,0.07,-0.02,0,0.08
33009,41316,40375,0.11,0.16,0.08,0.41,0.51,-0.26,-0.3,0.03,0.08,0.07,0.05,0.09,0.15,0.06,0.03,0.11,0.12,0.09,0.09,0.1,0.08,0.36,0.61,-0.29,-0.41,-0.01,0.06,0.07,0.06,0.12,0.17,0.19,0.04,0.15,0.07,0.08
33011,191516,188340,0.08,0.1,0.04,-0.01,-0.05,0.13,0.17,0.06,0.03,0.01,-0.02,-0.03,-0.03,-0.03,-0.01,0.08,0.1,0.24,0.09,0.13,0.05,0.01,-0.08,0.12,0.23,0.08,0.04,0.03,-0.02,-0.04,-0.04,-0.06,-0.06,0.08,0.04,0.16
